iter	Passed	Remaining
408	4218	6095
409	4232	6091
410	4246	6086
411	4260	6079
412	4272	6072
413	4285	6066
414	4300	6062
415	4315	6057
416	4328	6051
417	4343	6047
418	4354	6037
419	4365	6028
420	4375	6017
421	4384	6005
422	4395	5995
423	4404	5983
424	4413	5971
425	4425	5962
426	4435	5952
427	4447	5943
428	4460	5936
429	4470	5926
430	4481	5916
431	4493	5907
432	4504	5898
433	4515	5889
434	4529	5882
435	4540	5873
436	4551	5863
437	4565	5857
438	4577	5849
439	4590	5842
440	4600	5830
441	4610	5820
442	4620	5810
443	4629	5797
444	4639	5786
445	4648	5774
446	4659	5764
447	4669	5753
448	4679	5742
449	4691	5733
450	4701	5723
451	4710	5710
452	4719	5699
453	4728	5687
454	4739	5676
455	4748	5665
456	4759	5654
457	4769	5643
458	4777	5631
459	4787	5619
460	4796	5608
461	4805	5596
462	4815	5585
463	4824	5573
464	4834	5561
465	4845	5552
466	4856	5542
467	4865	5530
468	4874	5518
469	4885	5508
470	4894	5497
471	4903	5485
472	4913	5474
473	4922	5462
474	4932	5451
475	4940	5438
476	4950	5428
477	4960	5417
478	4971	5407
479	4981	5396
480	4990	5384
481	5001	5375
482	5011	5364
483	5020	5352
484	5030	5341
485	5039	5329
486	5048	5318
487	5058	5306
488	5069	5297
489	5079	5286
490	5088	5274
491	5097	5263
492	5106	5251
493	5115	5240
494	5125	5229
495	5135	5217
496	5144	5206
497	5153	5195
498	5164	5184
499	5173	5173
500	5183	5162
501	5193	5152
502	5202	5140
503	5213	5130
504	5223	5120
505	5234	5110
506	5246	5101
507	5259	5094
508	5270	5084
509	5283	5076
510	5296	5068
511	5308	5059
512	5318	5049
513	5332	5041
514	5343	5031
515	5354	5022
516	5364	5012
517	5376	5002
518	5388	4994
519	5399	4984
520	5414	4978
521	5428	4971
522	5441	4962
523	5454	4954
524	5465	4944
525	5479	4937
526	5492	4929
527	5506	4922
528	5519	4914
529	5532	4906
530	5545	4897
531	5558	4890
532	5574	4884
533	5590	4878
534	5605	4872
535	5618	4863
536	5627	4852
537	5641	4844
538	5653	4835
539	5665	4826
540	5677	4817
541	5694	4811
542	5708	4804
543	5725	4799
544	5739	4791
545	5750	4781
546	5760	4770
547	5772	4760
548	5789	4756
549	5806	4750
550	5824	4745
551	5841	4740
552	5869	4744
553	5890	4742
554	6004	4814
555	6022	4809
556	6041	4805
557	6051	4793
558	6077	4794
559	6112	4802
560	6124	4792
561	6138	4784
562	6151	4775
563	6166	4767
564	6178	4756
565	6187	4744
566	6199	4734
567	6211	4724
568	6220	4711
569	6231	4701
570	6241	4689
571	6252	4678
572	6265	4668
573	6275	4657
574	6286	4646
575	6298	4636
576	6308	4624
577	6318	4612
578	6330	4603
579	6340	4591
580	6349	4578
581	6359	4567
582	6368	4555
583	6378	4543
584	6387	4530
585	6397	4519
586	6406	4507
587	6415	4495
588	6425	4483
589	6434	4471
590	6444	4459
591	6454	4448
592	6463	4436
593	6473	4424
594	6482	4412
595	6494	4402
596	6504	4390
597	6512	4378
598	6522	4366
599	6532	4354
600	6541	4343
601	6550	4330
602	6560	4319
603	6570	4307
604	6580	4296
605	6590	4285
606	6600	4273
607	6611	4262
608	6624	4253
609	6635	4242
610	6644	4230
611	6654	4219
612	6664	4207
613	6676	4197
614	6685	4185
615	6694	4173
616	6705	4162
617	6714	4150
618	6724	4139
619	6734	4127
620	6743	4115
621	6753	4104
622	6762	4092
623	6772	4080
624	6782	4069
625	6791	4057
626	6802	4047
627	6811	4034
628	6823	4024
629	6833	4013
630	6846	4003
631	6866	3998
632	6879	3988
633	6890	3977
634	6904	3968
635	6916	3958
636	6933	3951
637	6942	3939
638	6955	3929
639	6967	3919
640	6976	3907
641	6991	3898
642	7025	3900
643	7046	3895
644	7080	3896
645	7089	3885
646	7100	3874
647	7110	3862
648	7119	3850
649	7130	3839
650	7140	3828
651	7151	3817
652	7162	3806
653	7171	3794
654	7183	3783
655	7192	3771
656	7201	3759
657	7211	3748
658	7220	3736
659	7231	3725
660	7241	3714
661	7251	3702
662	7261	3691
663	7271	3679
664	7281	3668
665	7291	3656
666	7300	3644
667	7310	3633
668	7319	3621
669	7329	3609
670	7339	3598
671	7348	3586
672	7360	3576
673	7369	3564
674	7379	3552
675	7390	3542
676	7400	3530
677	7410	3519
678	7419	3507
679	7428	3495
680	7438	3484
681	7447	3472
682	7457	3461
683	7467	3449
684	7476	3438
685	7486	3426
686	7495	3414
687	7506	3404
688	7515	3392
689	7525	3380
690	7535	3369
691	7544	3358
692	7556	3347
693	7570	3337
694	7580	3326
695	7594	3316
696	7607	3306
697	7614	3294
698	7627	3284
699	7640	3274
700	7647	3262
701	7662	3252
702	7675	3242
703	7687	3232
704	7697	3220
705	7710	3210
706	7723	3200
707	7733	3189
708	7744	3178
709	7757	3168
710	7772	3159
711	7782	3148
712	7793	3137
713	7805	3126
714	7815	3115
715	7825	3103
716	7839	3094
717	7850	3083
718	7860	3071
719	7874	3062
720	7887	3052
721	7896	3040
722	7906	3029
723	7918	3018
724	7926	3006
725	7939	2996
726	7951	2985
727	7958	2973
728	7970	2962
729	7980	2951
730	7990	2940
731	8003	2930
732	8013	2918
733	8022	2907
734	8036	2897
735	8050	2887
736	8058	2875
737	8072	2865
738	8087	2856
739	8100	2846
740	8111	2835
741	8122	2824
742	8133	2813
743	8144	2802
744	8153	2790
745	8165	2780
746	8178	2769
747	8188	2758
748	8200	2748
749	8212	2737
750	8221	2725
751	8234	2715
752	8248	2705
753	8260	2695
754	8270	2683
755	8285	2674
756	8300	2664
757	8314	2654
758	8324	2643
759	8335	2632
760	8350	2622
761	8363	2612
762	8376	2601
763	8387	2590
764	8402	2581
765	8417	2571
766	8432	2561
767	8446	2551
768	8460	2541
769	8471	2530
770	8484	2519
771	8499	2510
772	8512	2499
773	8523	2488
774	8532	2477
775	8546	2466
776	8559	2456
777	8572	2446
778	8583	2435
779	8598	2425
780	8612	2415
781	8626	2404
782	8639	2394
783	8649	2383
784	8663	2372
785	8677	2362
786	8691	2352
787	8704	2341
788	8721	2332
789	8731	2321
790	8746	2311
791	8760	2300
792	8773	2290
793	8781	2278
794	8794	2267
795	8808	2257
796	8822	2247
797	8835	2236
798	8846	2225
799	8860	2215
800	8874	2204
801	8886	2193
802	8897	2182
803	8910	2172
804	8925	2162
805	8939	2151
806	8951	2140
807	8962	2129
808	8976	2119
809	9007	2112
810	9022	2102
811	9034	2091
812	9044	2080
813	9059	2069
814	9071	2059
815	9083	2048
816	9093	2036
817	9107	2026
818	9121	2015
819	9136	2005
820	9149	1994
821	9160	1983
822	9173	1972
823	9186	1962
824	9200	1951
825	9208	1939
826	9222	1929
827	9237	1918
828	9250	1908
829	9261	1896
830	9273	1885
831	9286	1875
832	9300	1864
833	9317	1854
834	9330	1843
835	9340	1832
836	9353	1821
837	9366	1810
838	9382	1800
839	9397	1790
840	9415	1780
841	9428	1769
842	9441	1758
843	9453	1747
844	9468	1736
845	9482	1726
846	9497	1715
847	9508	1704
848	9518	1692
849	9533	1682
850	9549	1671
851	9564	1661
852	9578	1650
853	9586	1638
854	9598	1627
855	9610	1616
856	9617	1604
857	9629	1593
858	9642	1582
859	9650	1571
860	9679	1562
861	9690	1551
862	9699	1539
863	9712	1528
864	9722	1517
865	9731	1505
866	9743	1494
867	9750	1482
868	9763	1471
869	9775	1460
870	9782	1448
871	9794	1437
872	9806	1426
873	9814	1414
874	9829	1404
875	9842	1393
876	9851	1381
877	9862	1370
878	9875	1359
879	9887	1348
880	9896	1336
881	9909	1325
882	9920	1314
883	9927	1302
884	9940	1291
885	9950	1280
886	9959	1268
887	9972	1257
888	9983	1246
889	9994	1235
890	10008	1224
891	10022	1213
892	10036	1202
893	10049	1191
894	10058	1180
895	10074	1169
896	10088	1158
897	10102	1147
898	10111	1135
899	10124	1124
900	10139	1114
901	10153	1103
902	10168	1092
903	10177	1080
904	10188	1069
905	10202	1058
906	10218	1047
907	10232	1036
908	10247	1025
909	10257	1014
910	10271	1003
911	10285	992
912	10299	981
913	10308	969
914	10320	958
915	10333	947
916	10343	936
917	10353	924
918	10364	913
919	10374	902
920	10384	890
921	10395	879
922	10405	868
923	10415	856
924	10425	845
925	10434	833
926	10445	822
927	10455	811
928	10465	799
929	10476	788
930	10487	777
931	10499	766
932	10514	755
933	10529	744
934	10543	732
935	10562	722
936	10579	711
937	10594	700
938	10613	689
939	10628	678
940	10644	667
941	10659	656
942	10676	645
943	10692	634
944	10705	623
945	10719	611
946	10732	600
947	10747	589
948	10762	578
949	10777	567
950	10793	556
951	10808	544
952	10824	533
953	10838	522
954	10850	511
955	10863	499
956	10875	488
957	10889	477
958	10904	466
959	10916	454
960	10927	443
961	10941	432
962	10953	420
963	10963	409
964	10975	398
965	10989	386
966	11005	375
967	11019	364
968	11032	352
969	11042	341
970	11057	330
971	11070	318
972	11083	307
973	11092	296
974	11107	284
975	11122	273
976	11136	262
977	11150	250
978	11159	239
979	11171	227
980	11185	216
981	11199	205
982	11210	193
983	11222	182
984	11236	171
985	11250	159
986	11265	148
987	11282	137
988	11294	125
989	11306	114
990	11322	102
991	11337	91
992	11351	80
993	11363	68
994	11376	57
995	11386	45
996	11399	34
997	11416	22
998	11429	11
999	11441	0
